id;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;availability_365
18572739;Centro;Entire home/apt;148,00 ;2;15;20/04/2025;307
18942350;Centro;Entire home/apt;115,00 ;1;17;14/08/2025;124
24589020;Este;Entire home/apt;164,00 ;2;15;17/08/2025;362
24650389;Carretera de Cadiz;Entire home/apt;86,00 ;4;15;17/08/2025;69
27018655;Centro;Entire home/apt;220,00 ;1;15;13/08/2025;258
27019907;Cruz De Humilladero;Entire home/apt;114,00 ;1;14;02/03/2025;365
30390421;Centro;Entire home/apt;90,00 ;1;14;09/02/2025;327
31729211;Centro;Entire home/apt;104,00 ;1;13;22/08/2025;296
33423995;Centro;Entire home/apt;117,00 ;1;13;03/08/2025;105
43195635;Centro;Entire home/apt;102,00 ;2;7;23/03/2025;174
43994703;Centro;Entire home/apt;84,00 ;1;8;05/06/2025;198
52275126;Este;Entire home/apt;313,00 ;1;7;05/09/2025;253
52505136;Centro;Entire home/apt;162,00 ;1;8;27/07/2025;355
672446674065571000;Centro;Entire home/apt;85,00 ;3;6;13/08/2025;79
691867237544553000;Centro;Entire home/apt;163,00 ;1;5;09/09/2025;227
726435151818361000;Cruz De Humilladero;Entire home/apt;159,00 ;1;6;23/02/2025;19
794590358238862000;Centro;Entire home/apt;345,00 ;2;3;14/06/2025;329
869518746230013000;Centro;Entire home/apt;194,00 ;1;5;13/07/2025;329
998396780561944000;Bailen-Miraflores;Private room;55,00 ;1;4;11/08/2025;365
1105087440778390000;Centro;Entire home/apt;199,00 ;1;3;14/04/2025;329
1105927588659290000;Centro;Entire home/apt;86,00 ;1;3;25/04/2025;347
1163706962241670000;Este;Entire home/apt;130,00 ;1;1;11/04/2025;214
1208119538913870000;Centro;Entire home/apt;87,00 ;2;2;16/03/2025;254
1236436117793170000;Centro;Entire home/apt;171,00 ;2;2;19/02/2025;338
1380258235197140000;Centro;Entire home/apt;66,00 ;2;1;07/04/2025;321
1390650240138680000;Centro;Entire home/apt;480,00 ;1;1;06/04/2025;180
746003;Este;Entire home/apt;117,00 ;2;27;12/08/2025;247
6909193;Centro;Entire home/apt;103,00 ;5;7;27/08/2025;359
12237883;Este;Entire home/apt;144,00 ;3;21;31/07/2025;138
17967766;Carretera de Cadiz;Entire home/apt;85,00 ;2;1;19/04/2025;364
18286127;Centro;Entire home/apt;338,00 ;1;16;08/09/2025;281
18286131;Centro;Entire home/apt;504,00 ;1;16;05/08/2025;56
18573017;Este;Entire home/apt;127,00 ;4;14;09/09/2025;312
22919187;Este;Entire home/apt;93,00 ;1;17;22/06/2025;62
24445703;Centro;Entire home/apt;214,00 ;5;16;28/09/2025;170
29280232;Centro;Entire home/apt;90,00 ;1;15;08/09/2025;320
30600604;Puerto de la Torre;Entire home/apt;199,00 ;1;11;14/09/2025;4
43997602;Centro;Entire home/apt;239,00 ;1;11;26/06/2025;213
46241300;Centro;Entire home/apt;114,00 ;2;9;16/09/2025;358
51445940;Centro;Entire home/apt;92,00 ;1;9;18/09/2025;320
51445973;Centro;Entire home/apt;89,00 ;1;8;31/08/2025;330
54336352;Centro;Entire home/apt;105,00 ;1;8;16/07/2025;330
590025921974292000;Centro;Entire home/apt;162,00 ;1;7;25/08/2025;328
607647821200551000;Centro;Entire home/apt;73,00 ;2;7;30/05/2025;275
623097372887075000;Cruz De Humilladero;Entire home/apt;160,00 ;4;1;21/04/2025;286
623779805939561000;Centro;Entire home/apt;103,00 ;1;7;01/06/2025;213
663801135203259000;Centro;Entire home/apt;115,00 ;1;7;23/08/2025;76
680931071201739000;Centro;Entire home/apt;132,00 ;1;6;18/03/2025;278
993419234722386000;Centro;Entire home/apt;196,00 ;1;4;29/07/2025;346
1025218378204810000;Centro;Entire home/apt;109,00 ;3;4;30/06/2025;228
1039235972816940000;Centro;Entire home/apt;90,00 ;1;3;13/08/2025;357
1106509382090160000;Este;Entire home/apt;225,00 ;5;3;21/08/2025;56
1117873027267430000;Centro;Entire home/apt;80,00 ;2;3;06/07/2025;327
1218673971537720000;Centro;Entire home/apt;39,00 ;14;2;22/08/2025;332
1229117595636940000;Centro;Entire home/apt;79,00 ;1;1;18/04/2025;344
1256362819682250000;Campanillas;Entire home/apt;160,00 ;1;2;10/05/2025;57
1267303888701510000;Este;Entire home/apt;642,00 ;1;2;02/03/2025;361
1273126831966120000;Centro;Private room;23,00 ;30;1;14/04/2025;208
1279492116552260000;Centro;Entire home/apt;96,00 ;1;1;14/04/2025;272
1368235215009410000;Centro;Entire home/apt;224,00 ;3;1;19/04/2025;114
1369517163656160000;Cruz De Humilladero;Entire home/apt;125,00 ;1;1;13/04/2025;359
1377327891719430000;Carretera de Cadiz;Entire home/apt;228,00 ;1;1;20/04/2025;334
1384683224518460000;Carretera de Cadiz;Entire home/apt;72,00 ;2;1;14/04/2025;108
1385944678827600000;Este;Private room;45,00 ;2;1;19/04/2025;321
17582672;Centro;Entire home/apt;77,00 ;1;12;10/08/2025;174
19536405;Cruz De Humilladero;Entire home/apt;199,00 ;2;19;31/07/2025;325
22093277;Centro;Entire home/apt;361,00 ;1;17;24/07/2025;304
23253857;Centro;Entire home/apt;173,00 ;1;5;18/07/2025;308
23492481;Centro;Entire home/apt;151,00 ;2;17;21/04/2025;120
25706403;Centro;Entire home/apt;94,00 ;1;10;01/08/2025;305
30240068;Centro;Entire home/apt;103,00 ;1;14;30/08/2025;238
30430865;Centro;Entire home/apt;70,00 ;1;13;18/05/2025;229
31552211;Centro;Entire home/apt;110,00 ;1;15;01/01/2025;66
37963285;Centro;Entire home/apt;124,00 ;4;14;10/07/2025;151
39164102;Centro;Entire home/apt;60,00 ;3;1;26/04/2025;35
39493334;Cruz De Humilladero;Entire home/apt;89,00 ;1;14;18/05/2025;336
41578468;Centro;Entire home/apt;102,00 ;1;13;14/07/2025;62
44437901;Teatinos-Universidad;Entire home/apt;126,00 ;1;9;16/08/2025;278
53521167;Centro;Entire home/apt;145,00 ;1;8;15/07/2025;78
592599829602624000;Centro;Entire home/apt;98,00 ;2;8;13/06/2025;139
596743918416654000;Bailen-Miraflores;Entire home/apt;105,00 ;2;8;28/09/2025;319
601451278062428000;Centro;Private room;126,00 ;1;8;06/09/2025;156
675055801091825000;Bailen-Miraflores;Entire home/apt;67,00 ;7;5;12/02/2025;88
676004870036564000;Centro;Entire home/apt;108,00 ;28;3;19/06/2025;135
680915498502907000;Centro;Entire home/apt;140,00 ;1;6;14/08/2025;282
682350234397121000;Centro;Entire home/apt;153,00 ;1;6;13/03/2025;286
770337534311354000;Este;Private room;77,00 ;1;6;19/09/2025;84
786711271073414000;Carretera de Cadiz;Entire home/apt;174,00 ;2;6;24/08/2025;321
878263424474584000;Centro;Entire home/apt;100,00 ;3;5;19/06/2025;363
882632382148149000;Puerto de la Torre;Entire home/apt;80,00 ;1;1;27/04/2025;365
898340420605326000;Centro;Entire home/apt;158,00 ;2;5;25/04/2025;80
971786771932288000;Centro;Entire home/apt;106,00 ;1;4;16/06/2025;259
1058698844605640000;Churriana;Entire home/apt;117,00 ;2;4;01/06/2025;177
1100652069462460000;Carretera de Cadiz;Entire home/apt;111,00 ;1;3;14/04/2025;81
1108814721871680000;Centro;Entire home/apt;46,00 ;1;2;27/08/2025;88
1112314820937420000;Centro;Entire home/apt;126,00 ;1;2;31/01/2025;334
1182497994305050000;Centro;Entire home/apt;77,00 ;1;1;25/04/2025;151
1325478768513860000;Centro;Entire home/apt;79,00 ;1;1;28/04/2025;340
